Year,TrackMarker,X,Y,Number,Letter,Angle,Distance
2018,Corners,432.50665283203125,3567.84912109375,1,,59.01921173970659,427.11240302532605
2018,Corners,-158.56326293945312,3644.214111328125,2,,-113.32500685958706,504.0793706041123
2018,Corners,-886.8078002929688,4127.07666015625,3,,120.9316017481458,582.3887156167773
2018,Corners,-1085.952392578125,3089.476806640625,4,,-175.6376695355284,736.5791959612858
2018,Corners,-562.119873046875,325.75439453125,5,,-54.26416676559614,1009.6228663252347
2018,Corners,-5310.61962890625,517.8907470703125,6,,-108.68102998117025,1472.1270090324679
2018,Corners,-8287.0322265625,2196.8154296875,7,,88.3172391589591,1828.6986966013947
2018,Corners,-9517.107421875,485.0157775878906,8,,94.4327118521958,2015.475366867555
2018,Corners,-10948.638671875,1708.481689453125,9,,98.34700640113064,2220.717115252859
2018,Corners,-13236.0732421875,-1882.8096923828125,10,,176.30877606776173,2650.0111580906205
2018,Corners,-12263.3623046875,-2818.82958984375,11,,50.77135768564244,2782.1779158089403
2018,Corners,-12136.92578125,-3601.125,12,,-156.74618125380925,2917.3526635934372
2018,Corners,-10760.1103515625,-4945.19287109375,13,,-79.79085895698665,3038.336294006076
2018,Corners,-9401.7421875,111.70972442626953,14,,-54.94238892515303,3563.394250721066
2018,Corners,-7330.4462890625,-1331.593505859375,15,,-111.87946601217061,3868.9769852752343
2018,Corners,-6383.16796875,-1511.12158203125,16,,43.38343777770292,3923.8833236596006
2018,Corners,-6205.32666015625,-2313.67333984375,17,,-135.03695384562002,4056.020302555876
2018,Corners,-4107.8115234375,-2508.521728515625,18,,-47.518273240576605,4223.272563997447
2018,Corners,-3841.136474609375,-1671.2635498046875,19,,126.46894877529128,4356.391859584007
2018,Corners,-2483.682373046875,-1749.171142578125,20,,51.28198873829245,4446.816915495916
2018,Corners,-2290.99755859375,-2382.002197265625,21,,-137.2399803017606,4547.6316405234475
2018,Corners,587.6768798828125,-2658.6455078125,22,,-68.90250570254815,4815.461371543947
2018,Corners,1185.111572265625,-1758.93994140625,23,,-13.407970612164258,4954.916462295351
2018,Marshal Lights,1015.7674933760209,-415.30579944465717,1,,7.2501947426988025,4.061268120844298
2018,Marshal Lights,617.4485571306277,2496.667723775581,2,,7.982954878746469,318.3142591603515
2018,Marshal Lights,-968.2270721633176,4053.640368743493,3,,143.8025510148009,603.8867237269758
2018,Marshal Lights,-480.18467167521703,908.315101290875,4,,3.853491230991086,928.0933832937409
2018,Marshal Lights,-2918.76274663339,289.8664561045614,5,,-93.79345462571463,1246.3840865881857
2018,Marshal Lights,-7354.537157018921,1682.9330088262254,6,,59.509922720108506,1706.0313370227223
2018,Marshal Lights,-9214.85478446295,960.2294424305933,7,,-29.584701625958512,1962.9548297538254
2018,Marshal Lights,-10475.274563267349,1420.0983457754785,8,,49.496049725637846,2160.888602104825
2018,Marshal Lights,-12735.950048345396,-1084.0952938589817,9,,149.98975979462418,2567.5393970357645
2018,Marshal Lights,-12719.736596368413,-2633.876479753929,10,,-121.02526582965787,2741.9219841826807
2018,Marshal Lights,-11734.096379738006,-3973.922614978985,11,,-128.6723560418988,2965.133946965737
2018,Marshal Lights,-10016.888077881606,-1551.885398533245,12,,-197.64832081633185,3414.5588661765823
2018,Marshal Lights,-7734.8039795664745,-1066.5607551696394,13,,50.31502561303758,3814.4171398522603
2018,Marshal Lights,-6290.193272081081,-2143.0921211861687,14,,-165.22644841484555,4026.8912109867388
2018,Marshal Lights,-4648.934904173786,-2513.245900401548,15,,-93.70059421538977,4190.7732831469
2018,Marshal Lights,-3955.2735896395116,-1939.54887984514,16,,-194.15869356445367,4306.988565447933
2018,Marshal Lights,-2433.726958798666,-2021.7190491708266,17,,-182.22015452377477,4493.3048227335175
2018,Marshal Lights,-30.9090760848394,-2633.389845916159,18,,-93.57130963208358,4761.267151831058
2018,Marshal Sectors,1029.999989178542,-525.0000280472022,1,,-1.8168673613211617,4.061268120844298
2018,Marshal Sectors,578.0780876955841,2782.3367866515846,2,,6.57458557778331,357.9686068625588
2018,Marshal Sectors,-1025.7831956024747,3867.9069412427416,3,,-186.0349647949123,646.5897251690567
2018,Marshal Sectors,-512.5451683307601,1230.5744764018214,4,,6.775092959425869,899.5119608650915
2018,Marshal Sectors,-3044.941957448317,297.45597672544886,5,,-92.15015435911522,1270.2053969944188
2018,Marshal Sectors,-7306.9880828674395,1654.685954302462,6,,59.42420213167263,1706.0313370227223
2018,Marshal Sectors,-9199.34915851762,987.7677660818283,7,,-29.35777035359378,1962.9548297538254
2018,Marshal Sectors,-10409.252873908668,1363.5760789368567,8,,49.95038668264951,2148.1191125971272
2018,Marshal Sectors,-12709.077428973866,-1035.7623383628797,9,,150.85722682992562,2567.5393970357645
2018,Marshal Sectors,-12636.806249727833,-2679.819166967661,10,,-119.1092539177331,2752.333608060681
2018,Marshal Sectors,-11611.682209016597,-4073.8103816506014,11,,-128.7856150605134,2965.133946965737
2018,Marshal Sectors,-9955.785776061326,-1376.5754878953442,12,,-199.64141432021776,3438.134835339715
2018,Marshal Sectors,-7478.3691502027195,-1257.217603636007,13,,60.220656724446016,3853.6535594285465
2018,Marshal Sectors,-6294.312287178693,-2115.818033345891,14,,-175.01931206116552,4013.8072574582984
2018,Marshal Sectors,-4708.064243280508,-2509.3429199322854,15,,-93.04644000055077,4180.891127059646
2018,Marshal Sectors,-3940.223865622503,-1874.1184083712212,16,,-191.8903653097024,4317.634835955855
2018,Marshal Sectors,-2819.6079440542703,-1689.395221687485,17,,-93.88070024313998,4420.358036897156
2018,Marshal Sectors,-259.5863094246406,-2619.1598703845334,18,,-93.20732245917469,4741.840591145874
2019,Corners,432.50665283203125,3567.84912109375,1,,59.01921173970659,414.3068852334019
2019,Corners,-158.56326293945312,3644.214111328125,2,,-113.32500685958706,495.1103658072627
2019,Corners,-886.8078002929688,4127.07666015625,3,,120.9316017481458,569.8434457925011
2019,Corners,-1085.952392578125,3089.476806640625,4,,-175.6376695355284,712.9689401443038
2019,Corners,-562.119873046875,325.75439453125,5,,-54.26416676559614,1007.1440812535844
2019,Corners,-5310.61962890625,517.8907470703125,6,,-108.68102998117025,1465.7816630515354
2019,Corners,-8287.0322265625,2196.8154296875,7,,88.3172391589591,1805.888202597526
2019,Corners,-9517.107421875,485.0157775878906,8,,94.4327118521958,1993.5902777777783
2019,Corners,-10948.638671875,1708.481689453125,9,,98.34700640113064,2203.228001892914
2019,Corners,-13236.0732421875,-1882.8096923828125,10,,176.30877606776173,2634.0994747312675
2019,Corners,-12263.3623046875,-2818.82958984375,11,,50.77135768564244,2770.2632072631527
2019,Corners,-12136.92578125,-3601.125,12,,-156.74618125380925,2894.444334315027
2019,Corners,-10760.1103515625,-4945.19287109375,13,,-79.79085895698665,3030.4097010138357
2019,Corners,-9401.7421875,111.70972442626953,14,,-54.94238892515303,3556.749722222221
2019,Corners,-7330.4462890625,-1331.593505859375,15,,-111.87946601217061,3851.1536712544234
2019,Corners,-6383.16796875,-1511.12158203125,16,,43.38343777770292,3916.2350831322024
2019,Corners,-6205.32666015625,-2313.67333984375,17,,-135.03695384562002,4031.6604137462364
2019,Corners,-4107.8115234375,-2508.521728515625,18,,-47.518273240576605,4215.683055555553
2019,Corners,-3841.136474609375,-1671.2635498046875,19,,126.46894877529128,4335.992984090848
2019,Corners,-2483.682373046875,-1749.171142578125,20,,51.28198873829245,4428.014241510478
2019,Corners,-2290.99755859375,-2382.002197265625,21,,-137.2399803017606,4526.596391568284
2019,Corners,587.6768798828125,-2658.6455078125,22,,-68.90250570254815,4796.0026575089805
2019,Corners,1185.111572265625,-1758.93994140625,23,,-13.407970612164258,4956.5492831458605
2019,Marshal Lights,1015.7674933760209,-415.30579944465717,1,,7.2501947426988025,10.701036301523672
2019,Marshal Lights,617.4485571306277,2496.667723775581,2,,7.982954878746469,311.64014931406746
2019,Marshal Lights,-968.2270721633176,4053.640368743493,3,,143.8025510148009,580.0791525942373
2019,Marshal Lights,-480.18467167521703,908.315101290875,4,,3.853491230991086,907.0371290909392
2019,Marshal Lights,-2918.76274663339,289.8664561045614,5,,-93.79345462571463,1214.5659628966862
2019,Marshal Lights,-7354.537157018921,1682.9330088262254,6,,59.509922720108506,1691.6138498348205
2019,Marshal Lights,-9214.85478446295,960.2294424305933,7,,-29.584701625958512,1950.30382143008
2019,Marshal Lights,-10475.274563267349,1420.0983457754785,8,,49.496049725637846,2143.8256166119177
2019,Marshal Lights,-12735.950048345396,-1084.0952938589817,9,,149.98975979462418,2557.0676728363383
2019,Marshal Lights,-12719.736596368413,-2633.876479753929,10,,-121.02526582965787,2730.694364588394
2019,Marshal Lights,-11734.096379738006,-3973.922614978985,11,,-128.6723560418988,2948.079824735764
2019,Marshal Lights,-10016.888077881606,-1551.885398533245,12,,-197.64832081633185,3421.9229811966493
2019,Marshal Lights,-7734.8039795664745,-1066.5607551696394,13,,50.31502561303758,3791.7327898117
2019,Marshal Lights,-6290.193272081081,-2143.0921211861687,14,,-165.22644841484555,4004.3064510237455
2019,Marshal Lights,-4648.934904173786,-2513.245900401548,15,,-93.70059421538977,4179.400484581924
2019,Marshal Lights,-3955.2735896395116,-1939.54887984514,16,,-194.15869356445367,4299.619459415332
2019,Marshal Lights,-2433.726958798666,-2021.7190491708266,17,,-182.22015452377477,4473.301542320446
2019,Marshal Lights,-30.9090760848394,-2633.389845916159,18,,-93.57130963208358,4756.919884455009
2019,Marshal Sectors,1029.999989178542,-525.0000280472022,1,,-1.8168673613211617,5023.933469448455
2019,Marshal Sectors,578.0780876955841,2782.3367866515846,2,,6.57458557778331,349.9469850409513
2019,Marshal Sectors,-1025.7831956024747,3867.9069412427416,3,,-186.0349647949123,616.4377764997424
2019,Marshal Sectors,-512.5451683307601,1230.5744764018214,4,,6.775092959425869,877.1103196864319
2019,Marshal Sectors,-3044.941957448317,297.45597672544886,5,,-92.15015435911522,1238.3418334206256
2019,Marshal Sectors,-7306.9880828674395,1654.685954302462,6,,59.42420213167263,1691.6138498348205
2019,Marshal Sectors,-9199.34915851762,987.7677660818283,7,,-29.35777035359378,1950.30382143008
2019,Marshal Sectors,-10409.252873908668,1363.5760789368567,8,,49.95038668264951,2131.200847573639
