Year,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2018,0 days 00:00:45.016000,29.3,70.2,1007.5,False,33.5,171,1.7
2018,0 days 00:01:45.023000,29.2,71.0,1007.5,False,33.5,175,1.4
2018,0 days 00:02:45.039000,29.3,70.8,1007.6,False,33.5,181,1.7
2018,0 days 00:03:45.056000,29.3,71.0,1007.4,False,33.4,194,1.4
2018,0 days 00:04:45.065000,29.3,70.9,1007.5,False,33.5,206,1.4
2018,0 days 00:05:45.080000,29.3,70.7,1007.4,False,33.6,174,1.5
2018,0 days 00:06:45.094000,29.3,70.3,1007.5,False,33.6,163,1.0
2018,0 days 00:07:45.108000,29.3,70.5,1007.4,False,33.5,198,1.4
2018,0 days 00:08:45.121000,29.3,70.2,1007.6,False,33.5,178,1.4
2018,0 days 00:09:45.135000,29.3,70.5,1007.5,False,33.5,165,1.0
2018,0 days 00:10:45.149000,29.3,70.7,1007.5,False,33.4,194,1.1
2018,0 days 00:11:45.162000,29.3,70.7,1007.5,False,33.4,194,1.1
2018,0 days 00:12:45.178000,29.4,70.8,1007.6,False,33.4,189,0.8
2018,0 days 00:13:45.191000,29.4,70.6,1007.6,False,33.4,188,1.4
2018,0 days 00:14:45.205000,29.4,70.9,1007.5,False,33.5,172,1.3
2018,0 days 00:15:45.218000,29.5,70.8,1007.6,False,33.4,186,1.4
2018,0 days 00:16:45.924000,29.5,71.2,1007.5,False,33.5,193,1.1
2018,0 days 00:17:45.244000,29.5,71.1,1007.5,False,33.8,196,1.3
2018,0 days 00:18:45.257000,29.6,70.9,1007.6,False,33.8,208,1.3
2018,0 days 00:19:45.269000,29.7,69.7,1007.5,False,33.9,174,1.3
2018,0 days 00:20:45.290000,29.6,70.0,1007.6,False,33.7,194,1.4
2018,0 days 00:21:45.304000,29.6,70.6,1007.6,False,33.4,181,1.4
2018,0 days 00:22:45.313000,29.6,70.7,1007.5,False,33.7,168,1.9
2018,0 days 00:23:45.324000,29.7,70.4,1007.6,False,33.9,165,1.3
2018,0 days 00:24:45.336000,29.8,69.7,1007.6,False,33.9,186,1.6
2018,0 days 00:25:45.349000,29.7,70.1,1007.6,False,33.8,189,1.3
2018,0 days 00:26:45.364000,29.7,70.1,1007.6,False,33.8,189,1.3
2018,0 days 00:27:45.381000,29.7,70.4,1007.6,False,33.8,159,1.8
2018,0 days 00:28:45.389000,29.7,70.0,1007.7,False,33.8,177,1.6
2018,0 days 00:29:45.403000,29.7,70.2,1007.7,False,33.7,188,1.4
2018,0 days 00:30:45.414000,29.7,70.6,1007.7,False,33.6,190,1.3
2018,0 days 00:31:45.429000,29.7,70.7,1007.7,False,33.4,169,1.3
2018,0 days 00:32:45.442000,29.6,71.0,1007.8,False,33.4,192,1.5
2018,0 days 00:33:45.458000,29.6,71.1,1007.8,False,33.5,177,1.5
2018,0 days 00:34:45.470000,29.6,70.9,1007.8,False,33.5,180,1.1
2018,0 days 00:35:45.487000,29.7,70.8,1007.9,False,33.5,167,2.0
2018,0 days 00:36:45.499000,29.7,70.5,1007.8,False,33.6,178,1.6
2018,0 days 00:37:45.512000,29.7,69.8,1007.9,False,33.5,198,1.2
2018,0 days 00:38:45.527000,29.6,70.4,1007.9,False,33.2,191,1.6
2018,0 days 00:39:45.544000,29.6,70.5,1007.9,False,33.0,153,1.0
2018,0 days 00:40:45.556000,29.5,70.9,1007.9,False,33.0,182,0.9
2018,0 days 00:41:45.570000,29.5,70.6,1007.9,False,33.1,178,1.3
2018,0 days 00:42:45.584000,29.5,70.6,1007.9,False,33.1,186,1.0
2018,0 days 00:43:45.600000,29.5,70.3,1007.9,False,33.2,198,1.7
2018,0 days 00:44:45.905000,29.6,69.7,1007.9,False,33.3,182,1.3
2018,0 days 00:45:45.625000,29.7,70.3,1007.9,False,33.4,182,1.7
2018,0 days 00:46:45.640000,29.6,70.7,1007.9,False,33.0,188,0.9
2018,0 days 00:47:45.654000,29.7,70.9,1007.9,False,33.0,177,1.3
2018,0 days 00:48:45.670000,29.7,70.6,1008.0,False,33.1,170,1.5
2018,0 days 00:49:45.681000,29.7,70.2,1007.9,False,33.3,178,1.6
2018,0 days 00:50:45.694000,29.7,70.2,1007.9,False,33.3,178,1.6
2018,0 days 00:51:45.707000,29.7,70.0,1008.0,False,33.1,157,1.5
2018,0 days 00:52:45.721000,29.6,70.1,1008.1,False,33.0,182,1.4
2018,0 days 00:53:45.737000,29.5,71.0,1008.1,False,32.8,187,1.5
2018,0 days 00:54:45.749000,29.5,71.6,1008.1,False,32.7,178,0.9
2018,0 days 00:55:45.766000,29.4,71.8,1008.0,False,32.7,175,0.9
2018,0 days 00:56:45.777000,29.5,71.0,1008.1,False,32.9,193,1.1
2018,0 days 00:57:45.789000,29.5,70.8,1008.0,False,33.1,196,1.7
2018,0 days 00:58:45.801000,29.5,70.6,1008.0,False,33.0,192,1.6
2018,0 days 00:59:45.815000,29.5,71.0,1008.0,False,33.0,193,1.6
2018,0 days 01:00:45.829000,29.5,70.8,1008.1,False,33.0,181,1.3
2018,0 days 01:01:45.842000,29.5,70.6,1008.1,False,33.0,207,1.3
2018,0 days 01:02:45.855000,29.5,70.9,1008.0,False,32.9,176,0.8
2018,0 days 01:03:45.869000,29.5,71.3,1008.1,False,32.9,175,1.1
2018,0 days 01:04:45.881000,29.5,71.9,1008.0,False,32.8,172,1.3
